data Species.n Quarter Year fleet Age observed model residual stand.residual s2
catch 21 1 1992 -9 7  1.485031e+04 2.123608e+04 -3.576811e-01 -4.178663e-01 7.326849e-01
catch 21 1 1992 -9 8  8.123340e+03 1.221675e+04 -4.080664e-01 -4.604337e-01 7.854663e-01
catch 21 1 1993 -9 1  2.379829e+06 5.236760e+05 1.513911e+00 1.768649e+00 7.326849e-01
catch 21 1 1993 -9 2  3.092351e+05 2.508312e+05 2.093218e-01 2.445434e-01 7.326849e-01
catch 21 1 1993 -9 3  7.813700e+04 1.256850e+05 -4.753153e-01 -5.552943e-01 7.326849e-01
catch 21 1 1993 -9 4  4.151846e+04 7.479696e+04 -5.886391e-01 -6.876865e-01 7.326849e-01
catch 21 1 1993 -9 5  2.702479e+04 4.679305e+04 -5.489800e-01 -6.413541e-01 7.326849e-01
catch 21 1 1993 -9 6  1.757105e+04 4.310835e+04 -8.974640e-01 -1.048476e+00 7.326849e-01
catch 21 1 1993 -9 7  2.012480e+04 3.547200e+04 -5.667908e-01 -6.621619e-01 7.326849e-01
catch 21 1 1993 -9 8  1.353146e+04 2.250018e+04 -5.085058e-01 -5.737624e-01 7.854663e-01
catch 21 1 1994 -9 1  3.867603e+05 4.816090e+05 -2.193273e-01 -2.562325e-01 7.326849e-01
catch 21 1 1994 -9 2  1.842260e+05 3.013269e+05 -4.920327e-01 -5.748246e-01 7.326849e-01
catch 21 1 1994 -9 3  4.250879e+04 1.024462e+05 -8.796266e-01 -1.027637e+00 7.326849e-01
catch 21 1 1994 -9 4  5.404204e+04 5.129231e+04 5.222134e-02 6.100837e-02 7.326849e-01
catch 21 1 1994 -9 5  8.685640e+03 2.501040e+04 -1.057620e+00 -1.235581e+00 7.326849e-01
catch 21 1 1994 -9 6  9.035810e+03 1.769009e+04 -6.718091e-01 -7.848511e-01 7.326849e-01
catch 21 1 1994 -9 7  1.192487e+04 1.657546e+04 -3.292970e-01 -3.847062e-01 7.326849e-01
catch 21 1 1994 -9 8  1.526705e+04 2.247281e+04 -3.866091e-01 -4.362227e-01 7.854663e-01
catch 21 1 1995 -9 1  1.829948e+05 4.183933e+05 -8.269638e-01 -9.661130e-01 7.326849e-01
catch 21 1 1995 -9 2  8.386882e+04 3.370506e+05 -1.390979e+00 -1.625032e+00 7.326849e-01
catch 21 1 1995 -9 3  1.405304e+05 1.511193e+05 -7.264552e-02 -8.486922e-02 7.326849e-01
catch 21 1 1995 -9 4  2.567069e+04 5.158185e+04 -6.978200e-01 -8.152387e-01 7.326849e-01
catch 21 1 1995 -9 5  1.325928e+04 2.130335e+04 -4.741664e-01 -5.539521e-01 7.326849e-01
catch 21 1 1995 -9 6  3.079220e+03 1.170851e+04 -1.335640e+00 -1.560382e+00 7.326849e-01
catch 21 1 1995 -9 7  2.435820e+03 8.431846e+03 -1.241732e+00 -1.450672e+00 7.326849e-01
catch 21 1 1995 -9 8  4.977000e+03 1.878099e+04 -1.328018e+00 -1.498443e+00 7.854663e-01
catch 21 1 1996 -9 1  1.139712e+06 1.451462e+05 2.060790e+00 2.407548e+00 7.326849e-01
catch 21 1 1996 -9 2  7.087485e+04 1.037456e+05 -3.810257e-01 -4.451390e-01 7.326849e-01
catch 21 1 1996 -9 3  1.223163e+05 5.878759e+04 7.326793e-01 8.559636e-01 7.326849e-01
catch 21 1 1996 -9 4  3.389564e+04 2.646969e+04 2.472860e-01 2.888956e-01 7.326849e-01
catch 21 1 1996 -9 5  1.294719e+04 7.421661e+03 5.564759e-01 6.501113e-01 7.326849e-01
catch 21 1 1996 -9 6  7.290410e+03 3.462766e+03 7.444922e-01 8.697642e-01 7.326849e-01
catch 21 1 1996 -9 7  1.585730e+03 1.937726e+03 -2.004704e-01 -2.342025e-01 7.326849e-01
catch 21 1 1996 -9 8  2.141070e+03 4.544682e+03 -7.526521e-01 -8.492401e-01 7.854663e-01
